"Day","Susceptible","New Infections","Exposed","Infected","Hospitalized","Critical","Recovered","Dead","date","Cases"
1,18811366.2128753,0,0,0,0,0,0,0,2020-04-01,0
2,18811366.2128753,0,0,0,0,0,0,0,2020-04-02,0
3,18811366.2128753,0,0,0,0,0,0,0,2020-04-03,0
4,18811366.2128753,0,0,0,0,0,0,0,2020-04-04,0
5,18811366.2128753,0,0,0,0,0,0,0,2020-04-05,0
6,18811366.2128753,0,0,0,0,0,0,0,2020-04-06,0
7,18811366.2128753,0,0,0,0,0,0,0,2020-04-07,0
8,18811366.2128753,0,0,0,0,0,0,0,2020-04-08,0
9,18811366.2128753,0,0,0,0,0,0,0,2020-04-09,0
10,18811366.2128753,0,0,0,0,0,0,0,2020-04-10,0
11,18811366.2128753,0,0,0,0,0,0,0,2020-04-11,0
12,18811366.2128753,0,0,0,0,0,0,0,2020-04-12,0
13,18811366.2128753,0,1,0,0,0,0,0,2020-04-13,0
14,18811366.0654279,0.147447379243084,3.86173309324308,0.285714286,0,0,0,0,2020-04-14,0.147447379243084
15,18811365.4418739,0.623553967806851,3.38193474759142,1.30743394623403,0.000944680818215892,0,0.0806879724062739,0,2020-04-15,0.624498648625067
16,18811364.6857713,0.756102580993231,4.17177025687798,1.90014846150028,0.00502925855382742,0.0000329853440828384,0.450122965766998,0,2020-04-16,0.761164824891141
17,18811363.7449173,0.94085399534291,6.92068989192096,2.54918326082866,0.010042276319188,0.000205424907457295,0.987836214914407,0.000000854495407242211,2020-04-17,0.951101696569555
18,18811362.2960376,1.44887974947896,8.3922296703023,3.79818515667546,0.015969389418408,0.000536634674483114,1.70991052965396,0.00000629214042328193,2020-04-18,1.46538577357185
19,18811360.4028266,1.8932109926733,13.8876607547772,5.11076930473857,0.0245256636577107,0.00104607262006861,2.78602585439245,0.0000210153523696202,2020-04-19,1.91878272895108
20,18811357.485216,2.91761060576733,13.8373682837831,7.61845257868585,0.0352215151563843,0.00181132266338745,4.23475485914362,0.0000507118733032178,2020-04-20,2.9546434435871
21,18811354.0875617,3.39765430909879,14.2814887935618,9.3952856390619,0.0514690122081321,0.00288512002336747,6.39408129794635,0.000103717602937415,2020-04-21,3.45200844133029
