"time","date","Cases","Hospitalizations","ICU","Death"
1,2020-04-01,0,0,0,0
2,2020-04-02,0,0,0,0
3,2020-04-03,0,0,0,0
4,2020-04-04,0,0,0,0
5,2020-04-05,0,0,0,0
6,2020-04-06,0,0,0,0
7,2020-04-07,0,0,0,0
8,2020-04-08,0,0,0,0
9,2020-04-09,0,0,0,0
10,2020-04-10,0,0,0,0
11,2020-04-11,0,0,0,0
12,2020-04-12,0,0,0,0
13,2020-04-13,0,0,0,0
14,2020-04-14,0,0,0,0
15,2020-04-15,1,0,0,0
16,2020-04-16,2,0,0,0
17,2020-04-17,2,0,0,0.000000854495407242211
18,2020-04-18,4,0,0,0.00000629214042328193
19,2020-04-19,6,0,0,0.0000210153523696202
20,2020-04-20,9,0,0,0.0000507118733032178
21,2020-04-21,12,0,0,0.000103717602937415
22,2020-04-22,16,0,0,0.000190557749641418
23,2020-04-23,21,0,0,0.000326960230859395
24,2020-04-24,25,0,0,0.000530474803346578
25,2020-04-25,31,1,0,0.000818743564003403
26,2020-04-26,37,1,0,0.00120886689193262
27,2020-04-27,45,1,0,0.00171635240157033
28,2020-04-28,54,1,0,0.00235549806303776
29,2020-04-29,66,1,0,0.00314437451340269
30,2020-04-30,80,1,0,0.00410774875680021
31,2020-05-01,98,2,0,0.00527920470816573
32,2020-05-02,120,2,0,0.00670578615354907
33,2020-05-03,146,3,0,0.00844639724878978
34,2020-05-04,177,3,0,0.0105741405882778
35,2020-05-05,212,4,0,0.0131768165364592
36,2020-05-06,254,5,1,0.0163627779138742
37,2020-05-07,302,6,1,0.020253445630392
38,2020-05-08,357,7,1,0.0249844675638907
39,2020-05-09,420,8,1,0.0307042672962603
40,2020-05-10,490,10,1,0.0375785834907477
41,2020-05-11,566,11,1,0.0457924025595059
42,2020-05-12,652,13,2,0.0555465265258417
43,2020-05-13,748,15,2,0.0670528703088331
44,2020-05-14,854,18,2,0.0805297448699667
45,2020-05-15,975,20,3,0.0962131206073527
46,2020-05-16,1106,23,3,0.114360326703216
47,2020-05-17,1249,26,4,0.135250732558757
48,2020-05-18,1405,30,5,0.159178281272599
49,2020-05-19,1573,33,5,0.186452062196006
50,2020-05-20,1754,38,6,0.217397750156366
51,2020-05-21,1948,42,7,0.252357524764686
52,2020-05-22,2156,47,8,0.291683615154385
53,2020-05-23,2377,52,9,0.335730750824874
54,2020-05-24,2614,58,10,0.384854238224432
55,2020-05-25,2865,64,11,0.439405588871523
56,2020-05-26,3133,70,13,0.499730918003385
57,2020-05-27,3417,77,14,0.566168594896049
58,2020-05-28,3718,84,16,0.639052100793802
59,2020-05-29,4048,92,18,0.71871106678105
60,2020-05-30,4400,100,20,0.805473700900096
61,2020-05-31,4776,108,22,0.899668140567355
62,2020-06-01,5177,118,24,1.00162595539858
63,2020-06-02,5606,127,26,1.11170892104994
64,2020-06-03,6063,138,29,1.23032085108899
65,2020-06-04,6550,149,32,1.35791286268591
66,2020-06-05,7088,161,35,1.49498474442044
67,2020-06-06,7666,173,38,1.6420846492808
68,2020-06-07,8286,187,41,1.79980984414683
69,2020-06-08,8953,201,45,1.9688067131554
70,2020-06-09,9669,216,49,2.14980875732255
71,2020-06-10,10439,233,53,2.34365011827562
72,2020-06-11,11267,251,57,2.55126841740626
73,2020-06-12,12185,270,62,2.77370384523719
74,2020-06-13,13178,290,67,3.01209781358081
75,2020-06-14,14252,312,72,3.26769261415867
76,2020-06-15,15415,336,78,3.54183259796124
77,2020-06-16,16674,361,84,3.83602851346351
78,2020-06-17,18037,389,91,4.15198249701781
79,2020-06-18,19512,418,98,4.49159603546137
80,2020-06-19,21076,450,105,4.85697213066571
81,2020-06-20,22762,485,114,5.25041705794748
82,2020-06-21,24578,523,123,5.67444410290917
83,2020-06-22,26535,563,132,6.13178016356418
84,2020-06-23,28642,607,143,6.62530385930226
85,2020-06-24,30910,655,154,7.15803383794348
86,2020-06-25,33352,706,166,7.7331411246517
87,2020-06-26,35953,761,179,8.35397213465718
88,2020-06-27,38746,820,193,9.02407577910691
89,2020-06-28,41744,884,208,9.74723166076186
90,2020-06-29,44962,953,225,10.5274781798795
91,2020-06-30,48415,1027,243,11.3690800337108
92,2020-07-01,52120,1107,262,12.2765358133642
93,2020-07-02,56094,1192,282,13.2546038515675
94,2020-07-03,60494,1284,304,14.3083354266065
95,2020-07-04,65240,1383,328,15.4431101978102
96,2020-07-05,70362,1489,354,16.6646717202968
97,2020-07-06,75891,1603,381,17.9791623645453
98,2020-07-07,81858,1726,411,19.3934545617292
99,2020-07-08,88299,1859,443,20.9152834741812
100,2020-07-09,95248,2002,477,22.5532904355857
101,2020-07-10,102981,2156,514,24.3170327002527
102,2020-07-11,111370,2322,554,26.2169865451664
103,2020-07-12,120475,2503,597,28.2645559545624
104,2020-07-13,130357,2697,643,30.4720916310749
105,2020-07-14,141082,2909,693,32.8534298173193
106,2020-07-15,152718,3138,747,35.4241084984952
107,2020-07-16,165337,3386,805,38.2014431398002
108,2020-07-17,178462,3656,869,41.2045534622674
109,2020-07-18,192575,3949,937,44.4543850402964
110,2020-07-19,207730,4266,1011,47.9737448865145
111,2020-07-20,223987,4610,1091,51.7873578785868
112,2020-07-21,241415,4981,1178,55.9207377565422
113,2020-07-22,260085,5381,1272,60.3998774834852
114,2020-07-23,280075,5812,1374,65.2513197009644
115,2020-07-24,301464,6275,1484,70.5023831210474
116,2020-07-25,324338,6774,1603,76.1814349605449
117,2020-07-26,348786,7309,1731,82.3181591305981
118,2020-07-27,374899,7883,1870,88.9438001366523
119,2020-07-28,402773,8499,2019,96.0913773030639
120,2020-07-29,432508,9159,2180,103.795870477817
121,2020-07-30,464207,9866,2352,112.094380802232
122,2020-07-31,497976,10623,2538,121.026270570263
123,2020-08-01,533923,11433,2738,130.633285754515
124,2020-08-02,572162,12299,2952,140.959663997329
125,2020-08-03,612807,13225,3182,152.052230022018
126,2020-08-04,655974,14213,3428,163.960479628584
127,2020-08-05,701781,15268,3692,176.736652741999
128,2020-08-06,750349,16394,3975,190.43579538567
129,2020-08-07,801797,17594,4278,205.11580994904
130,2020-08-08,856246,18872,4602,220.837492692573
131,2020-08-09,913817,20232,4948,237.664557071527
132,2020-08-10,974626,21679,5318,255.663641150071
133,2020-08-11,1038791,23217,5713,274.9042971103
134,2020-08-12,1106424,24849,6134,295.458960630252
135,2020-08-13,1177635,26582,6583,317.40289770774
136,2020-08-14,1252527,28419,7061,340.814126341602
137,2020-08-15,1331198,30365,7571,365.773310349948
138,2020-08-16,1413736,32423,8113,392.363622509252
139,2020-08-17,1500222,34600,8688,420.670574143147
140,2020-08-18,1590728,36899,9300,450.781808281575
141,2020-08-19,1685311,39324,9949,482.786853556327
142,2020-08-20,1784017,41880,10637,516.776836105577
143,2020-08-21,1886878,44571,11366,552.844146935745
144,2020-08-22,1993909,47400,12138,591.082062441795
145,2020-08-23,2105109,50372,12954,631.584316124308
146,2020-08-24,2220458,53490,13815,674.444619970074
147,2020-08-25,2339915,56756,14725,719.75613448772
148,2020-08-26,2463423,60174,15683,767.610887014683
149,2020-08-27,2590897,63745,16692,818.099138638001
150,2020-08-28,2722236,67472,17754,871.308700897783
151,2020-08-29,2857313,71356,18869,927.324204364684
152,2020-08-30,2995977,75397,20039,986.226322193927
153,2020-08-31,3138055,79595,21265,1048.09095284747
154,2020-09-01,3283353,83950,22549,1112.98836732835
155,2020-09-02,3431650,88461,23890,1180.98232746862
156,2020-09-03,3582707,93125,25291,1252.12918303289
157,2020-09-04,3736261,97940,26751,1326.47695661735
158,2020-09-05,3892033,102901,28271,1404.06442651065
159,2020-09-06,4049723,108005,29851,1484.92021880582
160,2020-09-07,4209015,113246,31491,1569.06192107733
161,2020-09-08,4369582,118619,33191,1656.49523082822
162,2020-09-09,4531082,124116,34951,1747.2131526305
163,2020-09-10,4693167,129729,36768,1841.19525839218
164,2020-09-11,4855481,135450,38643,1938.40702544726
165,2020-09-12,5017666,141269,40575,2038.79926714875
166,2020-09-13,5179363,147178,42560,2142.30767031768
167,2020-09-14,5340216,153164,44598,2248.85245323766
168,2020-09-15,5499876,159217,46686,2358.33815686781
169,2020-09-16,5658001,165325,48822,2470.65358056671
170,2020-09-17,5814263,171476,51003,2585.67187187697
171,2020-09-18,5968346,177656,53225,2703.25077782864
172,2020-09-19,6119952,183854,55486,2823.23306280336
173,2020-09-20,6268801,190056,57783,2945.44709530202
174,2020-09-21,6414637,196250,60110,3069.70760302705
175,2020-09-22,6557222,202421,62465,3195.81659259496
176,2020-09-23,6696344,208558,64843,3323.56442701114
177,2020-09-24,6831817,214646,67241,3452.73105085513
178,2020-09-25,6963476,220676,69652,3583.08735003384
179,2020-09-26,7091186,226633,72074,3714.39663005744
180,2020-09-27,7214832,232508,74501,3846.41619417433
181,2020-09-28,7334329,238288,76928,3978.89900045352
182,2020-09-29,7449611,243965,79353,4111.59537510619
183,2020-09-30,7560639,249529,81768,4244.25475805514
184,2020-10-01,7667394,254970,84172,4376.62745603995
185,2020-10-02,7769876,260283,86558,4508.46637841178
186,2020-10-03,7868108,265459,88922,4639.52873123199
187,2020-10-04,7962126,270492,91261,4769.57764632531
188,2020-10-05,8051984,275378,93571,4898.38372351324
189,2020-10-06,8137751,280113,95848,5025.72646631182
190,2020-10-07,8219507,284692,98087,5151.39559384409
191,2020-10-08,8297343,289114,100287,5275.19221450973
192,2020-10-09,8371360,293377,102445,5396.92984997542
193,2020-10-10,8441666,297480,104556,5516.43530120515
194,2020-10-11,8508376,301422,106620,5633.54935144069
195,2020-10-12,8571608,305204,108633,5748.12730417836
196,2020-10-13,8631488,308828,110594,5860.03935718313
197,2020-10-14,8688139,312295,112501,5969.1708163631
198,2020-10-15,8741690,315607,114352,6075.4221558352
199,2020-10-16,8792268,318768,116148,6178.70893270031
200,2020-10-17,8840001,321779,117886,6278.96156688253
201,2020-10-18,8885016,324646,119567,6376.12499785405
202,2020-10-19,8927438,327371,121189,6470.15823116193
203,2020-10-20,8967389,329958,122754,6561.03378840341
204,2020-10-21,9004991,332413,124260,6648.73707468143
205,2020-10-22,9040360,334739,125708,6733.2656776382
206,2020-10-23,9073610,336941,127099,6814.62861194625
207,2020-10-24,9104852,339024,128434,6892.84552266975
208,2020-10-25,9134193,340992,129712,6967.94586023539
209,2020-10-26,9161735,342851,130936,7039.96803891136
210,2020-10-27,9187577,344605,132106,7108.95858972535
211,2020-10-28,9211814,346258,133224,7174.97131769638
212,2020-10-29,9234536,347815,134290,7238.06647214436
213,2020-10-30,9255831,349282,135306,7298.30993770882
214,2020-10-31,9275782,350661,136273,7355.77245258006
215,2020-11-01,9294466,351959,137193,7410.52885934652
216,2020-11-02,9311959,353178,138068,7462.65739280948
217,2020-11-03,9328332,354323,138899,7512.23900812627
218,2020-11-04,9343653,355398,139687,7559.35675172637
219,2020-11-05,9357985,356406,140435,7604.09517660871
220,2020-11-06,9371389,357352,141143,7646.53980287843
221,2020-11-07,9383922,358239,141813,7686.77662371823
222,2020-11-08,9395639,359070,142447,7724.89165641323
223,2020-11-09,9406590,359849,143046,7760.97053755658
224,2020-11-10,9416823,360578,143613,7795.0981611521
225,2020-11-11,9426384,361260,144148,7827.35835799491
226,2020-11-12,9435315,361899,144652,7857.833614446
227,2020-11-13,9443656,362496,145128,7886.60482851515
228,2020-11-14,9451446,363055,145577,7913.75110102301
229,2020-11-15,9458720,363578,145999,7939.34955951979
230,2020-11-16,9465510,364066,146397,7963.47521258967
231,2020-11-17,9471849,364523,146771,7986.20083215941
232,2020-11-18,9477765,364950,147124,8007.59686145193
233,2020-11-19,9483287,365348,147455,8027.73134627423
234,2020-11-20,9488439,365721,147766,8046.66988740024
235,2020-11-21,9493247,366068,148058,8064.47561189685
236,2020-11-22,9497733,366393,148333,8081.20916134347
237,2020-11-23,9501917,366696,148591,8096.92869500586
238,2020-11-24,9505821,366979,148832,8111.68990614318
239,2020-11-25,9509462,367243,149059,8125.54604974853
240,2020-11-26,9512858,367490,149272,8138.54798014598
241,2020-11-27,9516025,367720,149471,8150.74419699003
242,2020-11-28,9518978,367934,149658,8162.18089833394
243,2020-11-29,9521733,368134,149833,8172.90203955041
244,2020-11-30,9524301,368321,149998,8182.94939700172
245,2020-12-01,9526696,368495,150151,8192.36263546374
246,2020-12-02,9528928,368658,150295,8201.17937841137
247,2020-12-03,9531010,368809,150429,8209.43528036877
248,2020-12-04,9532951,368951,150555,8217.16410061856
249,2020-12-05,9534760,369082,150673,8224.39777764766
250,2020-12-06,9536446,369205,150783,8231.16650378557
251,2020-12-07,9538018,369320,150887,8237.49879956201
252,2020-12-08,9539484,369427,150983,8243.42158737668
253,2020-12-09,9540850,369526,151073,8248.96026413328
254,2020-12-10,9542123,369619,151157,8254.13877254437
255,2020-12-11,9543309,369705,151236,8258.97967086228
256,2020-12-12,9544415,369786,151309,8263.50420083543
257,2020-12-13,9545446,369861,151378,8267.73235372858
258,2020-12-14,9546407,369931,151442,8271.68293428054
259,2020-12-15,9547302,369997,151502,8275.37362250393
260,2020-12-16,9548136,370058,151558,8278.82103325878
261,2020-12-17,9548914,370114,151610,8282.04077355564
262,2020-12-18,9549638,370167,151659,8285.04749756497
263,2020-12-19,9550314,370216,151705,8287.85495932706
264,2020-12-20,9550943,370262,151747,8290.47606317286
265,2020-12-21,9551529,370305,151787,8292.9229118787
266,2020-12-22,9552076,370345,151824,8295.20685258935
267,2020-12-23,9552585,370382,151858,8297.33852055288
268,2020-12-24,9553059,370417,151891,8299.32788071871
269,2020-12-25,9553501,370449,151921,8301.18426725602
270,2020-12-26,9553913,370479,151949,8302.91642105484
271,2020-12-27,9554297,370507,151975,8304.5325252757
272,2020-12-28,9554655,370533,151999,8306.04023901665
273,2020-12-29,9554988,370558,152022,8307.44672916794
274,2020-12-30,9555298,370580,152043,8308.75870052636
275,2020-12-31,9555588,370601,152063,8309.98242424097
276,2021-01-01,9555857,370621,152082,8311.12376466264
277,2021-01-02,9556108,370639,152099,8312.18820466859
278,2021-01-03,9556342,370656,152115,8313.18086953259
279,2021-01-04,9556560,370672,152130,8314.10654941013
280,2021-01-05,9556763,370687,152144,8314.96972050613
281,2021-01-06,9556953,370701,152157,8315.77456499123
282,2021-01-07,9557129,370714,152169,8316.52498973069
283,2021-01-08,9557293,370726,152180,8317.22464388781
284,2021-01-09,9557446,370737,152191,8317.87693546161
285,2021-01-10,9557589,370747,152201,8318.48504681643
286,2021-01-11,9557722,370757,152210,8319.05194925862
287,2021-01-12,9557846,370766,152218,8319.58041671337
288,2021-01-13,9557961,370775,152226,8320.07303855237
289,2021-01-14,9558068,370782,152234,8320.53223162065
290,2021-01-15,9558168,370790,152241,8320.96025150887
291,2021-01-16,9558262,370797,152247,8321.35920311491
292,2021-01-17,9558349,370803,152253,8321.73105053665
293,2021-01-18,9558430,370809,152259,8322.07762633556
294,2021-01-19,9558505,370814,152264,8322.40064020881
295,2021-01-20,9558575,370819,152269,8322.70168710556
296,2021-01-21,9558641,370824,152273,8322.98225482115
297,2021-01-22,9558702,370829,152278,8323.24373110123
298,2021-01-23,9558758,370833,152282,8323.48741028591
299,2021-01-24,9558811,370837,152285,8323.7144995225
300,2021-01-25,9558861,370840,152289,8323.9261245736
301,2021-01-26,9558907,370844,152292,8324.12333524608
302,2021-01-27,9558950,370847,152295,8324.30711046457
303,2021-01-28,9558989,370850,152298,8324.4783630121
304,2021-01-29,9559027,370852,152300,8324.637943959
305,2021-01-30,9559061,370855,152303,8324.78664679992
306,2021-01-31,9559093,370857,152305,8324.92521131762
307,2021-02-01,9559123,370859,152307,8325.0543271912
308,2021-02-02,9559151,370861,152309,8325.17463736512
309,2021-02-03,9559178,370863,152311,8325.28674119457
310,2021-02-04,9559202,370865,152312,8325.3911973817
311,2021-02-05,9559224,370867,152314,8325.48852671624
312,2021-02-06,9559246,370868,152315,8325.57921463338
313,2021-02-07,9559265,370870,152317,8325.66371360082
314,2021-02-08,9559283,370871,152318,8325.74244534616
315,2021-02-09,9559301,370872,152319,8325.81580293519
316,2021-02-10,9559316,370873,152320,8325.88415271086
317,2021-02-11,9559331,370875,152321,8325.94783610213
318,2021-02-12,9559345,370876,152322,8326.00717131133
319,2021-02-13,9559358,370877,152323,8326.06245488807
320,2021-02-14,9559370,370877,152324,8326.11396319722
321,2021-02-15,9559381,370878,152325,8326.16195378797
322,2021-02-16,9559391,370879,152325,8326.20666667067
323,2021-02-17,9559401,370880,152326,8326.2483255075
324,2021-02-18,9559410,370880,152327,8326.28713872268
325,2021-02-19,9559418,370881,152327,8326.32330053781
326,2021-02-20,9559426,370882,152328,8326.35699193706
327,2021-02-21,9559434,370882,152328,8326.38838156721
328,2021-02-22,9559440,370883,152329,8326.41762657662
329,2021-02-23,9559447,370883,152329,8326.44487339751
330,2021-02-24,9559453,370883,152330,8326.47025847517
331,2021-02-25,9559458,370884,152330,8326.4939089477
332,2021-02-26,9559463,370884,152330,8326.5159432797
333,2021-02-27,9559468,370885,152331,8326.53647185297
334,2021-02-28,9559472,370885,152331,8326.55559751701
335,2021-03-01,9559476,370885,152331,8326.57341610225
336,2021-03-02,9559480,370885,152332,8326.59001689833
337,2021-03-03,9559484,370886,152332,8326.60548309993
338,2021-03-04,9559487,370886,152332,8326.61989222224
339,2021-03-05,9559490,370886,152332,8326.63331648821
340,2021-03-06,9559493,370886,152333,8326.64582318941
341,2021-03-07,9559496,370887,152333,8326.65747502242
342,2021-03-08,9559499,370887,152333,8326.66833040221
343,2021-03-09,9559501,370887,152333,8326.67844375429
344,2021-03-10,9559503,370887,152333,8326.68786578686
345,2021-03-11,9559505,370887,152333,8326.69664374454
346,2021-03-12,9559507,370887,152333,8326.7048216447
347,2021-03-13,9559509,370888,152334,8326.71244049776
348,2021-03-14,9559510,370888,152334,8326.71953851242
349,2021-03-15,9559512,370888,152334,8326.72615128698
350,2021-03-16,9559513,370888,152334,8326.73231198752
351,2021-03-17,9559515,370888,152334,8326.73805151398
352,2021-03-18,9559516,370888,152334,8326.74339865493
353,2021-03-19,9559517,370888,152334,8326.74838023172
354,2021-03-20,9559518,370888,152334,8326.75302123287
355,2021-03-21,9559519,370888,152334,8326.75734493924
356,2021-03-22,9559520,370888,152334,8326.76137304067
357,2021-03-23,9559521,370888,152334,8326.76512574465
358,2021-03-24,9559522,370888,152335,8326.76862187762
359,2021-03-25,9559523,370889,152335,8326.77187897929
360,2021-03-26,9559523,370889,152335,8326.77491339054
361,2021-03-27,9559524,370889,152335,8326.77774033539
362,2021-03-28,9559525,370889,152335,8326.78037399722
363,2021-03-29,9559525,370889,152335,8326.78282758998
364,2021-03-30,9559526,370889,152335,8326.78511342433
365,2021-03-31,9559526,370889,152335,8326.78724296945
