"time","date","Cases_sq","Hospitalizations_sq","ICU_sq","Death_sq","Severe_sq","Cases_sim","Hospitalizations_sim","ICU_sim","Death_sim","Severe_sim"
1,2020-04-01,0,0,0,0,0,0,0,0,0,0
2,2020-04-02,0,0,0,0,0,0,0,0,0,0
3,2020-04-03,0,0,0,0,0,0,0,0,0,0
4,2020-04-04,0,0,0,0,0,0,0,0,0,0
5,2020-04-05,0,0,0,0,0,0,0,0,0,0
6,2020-04-06,0,0,0,0,0,0,0,0,0,0
7,2020-04-07,0,0,0,0,0,0,0,0,0,0
8,2020-04-08,0,0,0,0,0,0,0,0,0,0
9,2020-04-09,0,0,0,0,0,0,0,0,0,0
10,2020-04-10,0,0,0,0,0,0,0,0,0,0
11,2020-04-11,0,0,0,0,0,0,0,0,0,0
12,2020-04-12,0,0,0,0,0,0,0,0,0,0
13,2020-04-13,0,0,0,0,0,0,0,0,0,0
14,2020-04-14,0,0,0,0,0,0,0,0,0,0
15,2020-04-15,1,0,0,0,0,1,0,0,0,0
16,2020-04-16,2,0,0,0,0,2,0,0,0,0
17,2020-04-17,2,0,0,0,0,2,0,0,0,0
18,2020-04-18,4,0,0,0,0,4,0,0,0,0
19,2020-04-19,6,0,0,0,0,6,0,0,0,0
20,2020-04-20,9,0,0,0,0,9,0,0,0,0
21,2020-04-21,12,0,0,0,0,12,0,0,0,0
22,2020-04-22,16,0,0,0,0,16,0,0,0,0
23,2020-04-23,20,0,0,0,0,20,0,0,0,0
24,2020-04-24,25,0,0,0,0,25,0,0,0,0
25,2020-04-25,30,0,0,0,0,30,0,0,0,0
26,2020-04-26,36,0,0,0,0,36,0,0,0,0
27,2020-04-27,44,0,0,0,0,44,0,0,0,0
28,2020-04-28,53,0,0,0,0,53,0,0,0,0
29,2020-04-29,65,0,0,0,0,65,0,0,0,0
30,2020-04-30,79,0,0,0,0,79,0,0,0,0
31,2020-05-01,96,0,0,0,0,96,0,0,0,0
32,2020-05-02,117,1,0,0,1,117,1,0,0,1
